guideword,grammar,example,level,type,scene_uid,uid
devoir au passé composé,exprimer une obligation passée accomplie ou une supposition sur un fait passé,"Il est parti tôt, donc j'ai dû faire la lessive moi-même.
Nous étions en retard, donc nous avons dû appeler un taxi.
Il a dû le laisser là pour toi.
J'ai trouvé l'écharpe de Sophie. Elle a dû l'oublier.",A2,"Idioms, Idiomatic Usage, and Structures",532,1064
noms en -ou,former le pluriel des noms français se terminant par -ou,"le bijou → les bijoux
le chou → les choux
le caillou → les cailloux
le joujou → les joujoux
le genou → les genoux
le pou → les poux
le hibou → les hiboux",A2,Nouns & Articles,533,1065
exceptions -oux,identifier les 7 noms en -ou qui prennent -x au pluriel,"les bijoux
les choux
les cailloux
les joujoux
les genoux
les poux
les hiboux",A2,Nouns & Articles,533,1066
exemples contextuels,utiliser correctement les pluriels réguliers et irréguliers en contexte,"Il y a des trous dans la route.
Les fous sont dans la rue !
Elle a des cailloux dans sa chaussure.
Ils font pousser des choux dans leur jardin.
L'enfant est sur les genoux de sa maman.
J'adore les bijoux !",A2,Nouns & Articles,534,1067
-ger verbes à l'imparfait,conjuguer des verbes semi-réguliers en -ger à l'imparfait en ajoutant un 'e' après le 'g' pour maintenir le son doux [ʒ],"je mangeais
tu rangeais
elle voyageait
nous changions
vous voyagiez
ils mangeaient",A2,Verbs Tenses & Conjugation,534,1068
exception -ger + i,ne pas ajouter de 'e' après le 'g' quand un 'i' est déjà présent pour garder le son doux,"nous mangions
vous voyagiez",A2,Verbs Tenses & Conjugation,535,1069
habitudes passées,décrire une action répétée ou une habitude dans le passé,"Je lisais tous les jours.
Tu étudiais chaque jour.
Il jouait au football quand il était petit.
Tous les étés, nous allions dans le sud de la France.
Ma mère me berçait dans ses bras jusqu'à ce que je m'endorme.",A2,Verbs Tenses & Conjugation,535,1070
l'imparfait,utiliser le bon temps pour exprimer des actions continues ou des descriptions dans le passé,"Il jouait au football quand il était petit.
Ma mère me berçait dans ses bras jusqu'à ce que je m'endorme.",A2,Verbs Tenses & Conjugation,536,1071
avoir l'habitude de,exprimer une habitude au présent ou au passé,"J'ai l'habitude de prendre le bus numéro 12 le matin.
Il avait l'habitude de monter aux arbres quand il était petit.",A2,"Idioms, Idiomatic Usage, and Structures",536,1072
avoir l'habitude de + infinitif,construire une expression avec un verbe à l'infinitif après 'de',"J'ai l'habitude de prendre mes médicaments maintenant.
Nous avions l'habitude d'aller voir notre grand-mère le dimanche.",A2,"Idioms, Idiomatic Usage, and Structures",537,1073
imparfait avec habitude passée,utiliser l'imparfait pour décrire une habitude répétée dans le passé,"Il avait l'habitude de monter aux arbres quand il était petit.
Nous avions l'habitude d'aller voir notre grand-mère le dimanche.",A2,"Idioms, Idiomatic Usage, and Structures",537,1074
d'habitude,"indiquer ce qui est habituel, comme 'usually' en anglais","Tu arrives à quelle heure, d'habitude ?",A2,"Idioms, Idiomatic Usage, and Structures",538,1075
imparfait verbes réfléchis,conjuguer un verbe pronominal à l'imparfait pour exprimer une habitude ou une action répétée dans le passé,"Je me levais à 6 heures tous les matins.
Tu te lavais ?
Elle s'amusait avec lui.
Nous nous habillions à 6 heures et demie.
Ils se couchaient avant 10 heures.
Vous vous réveilliez à 5 heures ?",A2,Verbs Tenses & Conjugation,538,1076
terminaisons imparfait,"utiliser les bonnes terminaisons (-ais, -ais, -ait, -ions, -iez, -aient) après avoir conjugué l’auxiliaire être à l’imparfait pour former l’imparfait des verbes réfléchis","me levais, te lavais, s'amusait, nous habillions, vous réveilliez, se couchaient",A2,Verbs Tenses & Conjugation,539,1077
élision pronom réfléchi,remplacer me/te/se par m'/t'/s' devant une voyelle ou un h muet pour faciliter la prononciation,"s'amusait, m'habillais, t'habillais",A2,Verbs Tenses & Conjugation,539,1078
inversion avec nom,poser une question en inversant le verbe et un pronom sujet ajouté après un nom,"Sophie vient-elle ?
Votre hôtel est-il au centre-ville ?
Ton frère a-t-il une copine ?
La porte d'entrée est-elle encore fermée à clé ?",A2,Questions & Interrogatives,540,1079
#NAME?,ajouter -t- entre le verbe et le pronom il/elle quand le verbe finit par une voyelle,"Monique arrive-t-elle ?
Martin et toi allez-vous manger ?",A2,Questions & Interrogatives,540,1080
accord du pronom sujet,utiliser un pronom sujet qui correspond au genre et au nombre du nom sujet,"Les pandas mangent-ils du bambou ?
À qui ces chaussures sont-elles ?",A2,Questions & Interrogatives,541,1081
noms à double sens selon le genre,comprendre que certains noms changent de sens selon qu'ils sont masculins ou féminins,"J'aime le livre de Paul.
Cette boîte pèse une livre.
Nous avons fait le tour du musée.
Il admire la Tour Eiffel.
J'adore la mode !
Ils préfèrent le mode automatique.
Il m'a offert le poste.
Elle va à la poste.",A2,Nouns & Articles,541,1082
articles définis (le / la),utiliser l'article défini correct selon le genre du nom pour indiquer une entité spécifique,"J'aime le livre de Paul.
Il admire la Tour Eiffel.
Elle va à la poste.",A2,Nouns & Articles,542,1083
articles indéfinis (un / une),utiliser l'article indéfini correct selon le genre du nom pour introduire une entité non spécifique,Cette boîte pèse une livre.,A2,Nouns & Articles,542,1084
#NAME?,conjuguer les verbes en -uire au passé composé avec l'auxiliaire avoir et le participe passé en -uit,"j'ai conduit
tu as conduit
il a conduit
nous avons conduit
vous avez conduit
ils ont conduit",A2,Verbs Tenses & Conjugation,543,1085
participe passé des verbes -uire,former le participe passé des verbes en -uire en remplaçant -uire par -uit,"conduire → conduit
traduire → traduit
détruire → détruit
séduire → séduit
déduire → déduit",A2,Verbs Tenses & Conjugation,543,1086
utilisation de avoir avec -uire,"utiliser l'auxiliaire avoir (et non être) pour les verbes en -uire au passé composé, même s'ils expriment un mouvement","J'ai conduit toute la nuit.
Elle a conduit pour la première fois.
Ce sont ces événements qui ont conduit à la Première Guerre Mondiale.",A2,Verbs Tenses & Conjugation,544,1087
le plus / le moins + adverbe,utiliser la structure superlative avec un adverbe pour exprimer 'le plus' ou 'le moins' d'une action,"Marie chante le plus fort.
Marc est celui qui mange le plus bruyamment.
Je suis celui qui a couru le moins vite.
Cet ordinateur marche le moins bien.
Jeanne parle le plus doucement.",A2,Adjectives & Adverbs,544,1088
pas d'accord avec l'adverbe,ne pas accorder l'adverbe dans une structure superlative car les adverbes ne varient pas en genre ou en nombre,Tu NE DIS JAMAIS 'Jeanne parle la plus doucemente'.,A2,Adjectives & Adverbs,545,1089
superlatif avec adjectifs,former le superlatif d’un adjectif avec 'le/la/les plus' ou 'le/la/les moins' en accordant l’adjectif avec le nom,Le/la/les plus et Le/la/les moins = The most and the least (Superlative with Adjectives in French),A2,Adjectives & Adverbs,545,1090
superlatif avec verbes,utiliser 'le plus' ou 'le moins' devant un verbe pour exprimer qui fait le plus ou le moins une action,Le plus/Le moins = The most/the least (Superlative with Verbs in French),A2,Adjectives & Adverbs,546,1091
formes irrégulières,"utiliser les formes irrégulières comme mieux, pire, meilleur pour exprimer des comparatifs et superlatifs avancés","Meilleur, mieux, pire / plus mauvais, plus mal = better, best, worse and worst in French",A2,Adjectives & Adverbs,546,1092
de plus en plus / de moins en moins,"exprimer une augmentation ou une diminution progressive avec 'de plus en plus' ou 'de moins en moins' suivis d’un adverbe, adjectif ou verbe",De plus en plus / De moins en moins + [adverbe/adjectif/verbe] = more and more / less and less + [adverb/adjective/verb],A2,Adjectives & Adverbs,547,1093
de plus en plus de / de moins en moins de,exprimer une quantité croissante ou décroissante de choses avec 'de plus en plus de' ou 'de moins en moins de' + nom,De plus en plus de / de moins en moins de + [nom] = more and more / less and less + [nouns],A2,Adjectives & Adverbs,547,1094
plus... que / moins... que / aussi... que,comparer deux actions ou manières avec un adverbe à l’aide de structures comparatives,Plus ... que / Moins ... que / Aussi ... que = More ... than / Less ... than / As ... as (Comparisons with Adverbs in French),A2,Adjectives & Adverbs,548,1095
la moitié de,utiliser 'la moitié de' pour exprimer la moitié d'une quantité ou d'un objet,"J'ai bu la moitié de la bouteille.
Tu as mangé la moitié du gâteau.
La moitié du temps, je le fais pour lui.",A2,"Idioms, Idiomatic Usage, and Structures",548,1096
un/une demi-,former un mot composé avec 'demi-' pour exprimer la moitié d’un objet ou un objet de taille moitié,"J'ai utilisé un demi-seau d'eau pour arroser les plantes.
Je bois une demi-bouteille de vin par jour.
Achète une demi-baguette en rentrant !",A2,"Idioms, Idiomatic Usage, and Structures",549,1097
[nom] et demi/demie,exprimer une quantité entière plus une demi-unité en ajoutant 'et demi' après le nom,"Marc a quinze ans et demi.
J'ai bu une bouteille et demie.
Il a rempli un cahier et demi.",A2,"Idioms, Idiomatic Usage, and Structures",549,1098
à moitié [adjectif],décrire un état partiel ou une action inachevée avec 'à moitié' suivi d’un adjectif accordé,"Tu vois toujours le verre à moitié vide !
Ma dissertation est à moitié terminée.
Il était à moitié endormi pendant le cours.",A2,"Idioms, Idiomatic Usage, and Structures",550,1099
passé composé avec avoir,utiliser l'auxiliaire avoir au présent + participe passé pour exprimer une action terminée,"j'ai tenu
tu as tenu
il a tenu
nous avons tenu
vous avez tenu
ils ont tenu",A2,Verbs Tenses & Conjugation,550,1100
participe passé irrégulier,connaître les participes passés irréguliers des verbes comme tenir et ses dérivés,"tenu
retenu
soutenu
appartenu
contenu
détenu
entretenu
obtenu",A2,Verbs Tenses & Conjugation,551,1101
accord avec avoir,ne pas accorder le participe passé avec le sujet quand l'auxiliaire est avoir (sauf si le complément est placé avant),"Le Parlement a tenu sa première réunion hier.
La Commission a tenu sa première réunion hier.",A2,Verbs Tenses & Conjugation,551,1102
verbes dérivés de tenir,appliquer la même conjugaison aux verbes dérivés de tenir au passé composé,"J'ai enfin obtenu mon visa pour le Canada !
Tu m'as soutenu toutes ces années.
Nous avons retenu notre respiration pendant trente secondes !",A2,Verbs Tenses & Conjugation,552,1103
n'importe quoi,utiliser un pronom indéfini pour exprimer 'n’importe quoi' dans deux sens : 'n’importe quoi' comme 'anything' et comme 'nonsense',"Pour toi, je ferais n'importe quoi !
Regarde-le ! Il fait n'importe quoi !
Tu dis n'importe quoi !",A2,Pronouns,552,1104
pronom indéfini,reconnaître et utiliser des pronoms indéfinis courants en français comme 'n'importe quoi' ou 'quelque chose d'autre',"N'importe quoi = anything / nonsense
Autre chose / quelque chose d'autre = Something else",A2,Pronouns,553,1105
addition,exprimer une addition en utilisant 'plus' et 'égal',"deux plus deux égal quatre
six moins un égal cinq",A2,"Numbers, Time & Date",553,1106
soustraction,exprimer une soustraction en utilisant 'moins' et 'égal',six moins un égal cinq,A2,"Numbers, Time & Date",554,1107
multiplication,exprimer une multiplication avec 'fois' ou 'multiplié par',"un fois deux
un multiplié par deux",A2,"Numbers, Time & Date",554,1108
division,exprimer une division en utilisant 'divisé par',trente divisé par dix égal trois,A2,"Numbers, Time & Date",555,1109
verbe égaler,utiliser le verbe 'égaler' à la forme singulière pour les calculs,Deux plus deux égale quatre.,A2,"Numbers, Time & Date",555,1110
verbe faire,utiliser le verbe 'faire' à la forme plurielle pour dire 'ça fait',Deux plus deux font quatre.,A2,"Numbers, Time & Date",556,1111
passé composé,utiliser l'auxiliaire avoir + participe passé pour exprimer une action terminée dans le passé,"J'ai suivi vos instructions.
Est-ce que tu as suivi l'affaire ?
Je n'ai pas compris ce qui a suivi.
Nous avons suivi une formation.
Vous avez suivi le suspect hier.
Les policiers ont poursuivi les voleurs.",A2,Verbs Tenses & Conjugation,556,1112
suivre,conjuguer le verbe suivre au passé composé avec l'auxiliaire avoir,"j'ai suivi
tu as suivi
il/elle/on a suivi
nous avons suivi
vous avez suivi
ils/elles ont suivi",A2,Verbs Tenses & Conjugation,557,1113
participe passé invariable,reconnaître que le participe passé avec avoir ne s'accorde pas avec le sujet,"Il a suivi son cœur.
Elle a suivi son cœur.",A2,Verbs Tenses & Conjugation,557,1114
verbes en -suivre,appliquer la même conjugaison aux verbes dérivés de suivre comme poursuivre ou ressuivre,"j'ai poursuivi
j'ai ressuivi",A2,Verbs Tenses & Conjugation,558,1115
s'en aller,utiliser une expression idiomatique pour exprimer l'action de quitter un lieu,"Je m'en vais.
Tu t'en vas déjà ?
Ils s'en vont.",A2,"Idioms, Idiomatic Usage, and Structures",558,1116
impératif de s'en aller,donner un ordre pour demander à quelqu’un de partir,"Va-t'en !
Allez-vous en !",A2,"Idioms, Idiomatic Usage, and Structures",559,1117
passé composé de s'en aller,conjuguer un verbe pronominal au passé composé avec être et placer correctement le pronom 'en',"Nous nous sommes en allés.
Il s'en est allé.
Il s'est en allé.",A2,"Idioms, Idiomatic Usage, and Structures",559,1118
pronom 'en',utiliser le pronom 'en' pour remplacer une expression de lieu comme 'de ici',Va-t'en ! = Va-t'en (d'ici) !,A2,"Idioms, Idiomatic Usage, and Structures",560,1119
puis-je / ai-je / suis-je,"poser une question oui/non de manière formelle en inversant le pronom sujet 'je' avec le verbe avoir, être, pouvoir ou aller","Puis-je avoir le pain, s'il vous plaît ?
Suis-je à la bonne adresse ?
Ai-je assez d'argent ?
Vais-je dans la bonne direction ?",A2,Questions & Interrogatives,560,1120
inversion formelle,utiliser l'inversion sujet-verbe pour formuler une question polie ou soutenue à la première personne,"Comment puis-je faire ça ?
Où suis-je ?",A2,Questions & Interrogatives,561,1121
pouvoir (inversion irrégulière),former correctement l'inversion de 'je peux' en 'puis-je' pour des raisons de prononciation et de politesse,"Puis-je avoir le pain, s'il vous plaît ?",A2,Questions & Interrogatives,561,1122
questions complexes avec mots interrogatifs,"poser une question avec un mot interrogatif (comment, où, quand...) suivi d'une inversion formelle avec 'je'","Comment puis-je faire ça ?
Où suis-je ?",A2,Questions & Interrogatives,562,1123
passé composé avec avoir,utiliser avoir au présent + participe passé pour exprimer une action terminée dans le passé,"j'ai écrit à mon meilleur ami Thierry
tu as écrit pour la question 6
il a écrit sa lettre au Père Noël",A2,Verbs Tenses & Conjugation,562,1124
participe passé irrégulier,connaître les participes passés irréguliers comme 'écrit' pour les verbes dérivés d'écrire,"écrit
inscrit
réécrit
décrit
désinscrit",A2,Verbs Tenses & Conjugation,563,1125
accord avec avoir,ne pas accorder le participe passé avec le sujet quand l'auxiliaire est avoir (sauf si le complément est placé avant),"François a écrit son premier roman
Christine a écrit son premier roman",A2,Verbs Tenses & Conjugation,563,1126
verbes dérivés d'écrire,"appliquer la même règle de conjugaison aux verbes dérivés comme inscrire, décrire, réécrire","j'ai décrit leur ravissant jardin
tu as inscrit ta fille à des cours de danse
nous avons réécrit toute notre dissertation",A2,Verbs Tenses & Conjugation,564,1127
s'inscrire,utiliser être comme auxiliaire pour les verbes pronominaux comme s'inscrire,"s'inscrire -> désinscrit (note explicative seulement, pas d'exemple conjugué dans le texte)",A2,Verbs Tenses & Conjugation,564,1128
le plus / le moins avec verbe,utiliser le superlatif avec un verbe pour exprimer l'action maximale ou minimale,"Paul est celui qui boit le moins dans ma famille.
De tous ses employés, c'est Juliette qui travaille le plus.
Qu'est-ce que tu aimes le plus ici ?
Ce qu'elle aime le moins chez lui, c'est son arrogance.",A2,Adjectives & Adverbs,565,1129
accord avec le superlatif verbal,ne pas accorder le superlatif quand il est utilisé avec un verbe (pas de genre ou nombre),"boit le moins
travaille le plus
aimes le plus
aime le moins",A2,Adjectives & Adverbs,565,1130
structure du superlatif verbal,former le superlatif d’un verbe en ajoutant « le plus » ou « le moins » juste après le verbe,"boit le moins
travaille le plus
aimes le plus
aime le moins",A2,Adjectives & Adverbs,566,1131
passé composé avec avoir,utiliser l'auxiliaire avoir au présent suivi du participe passé pour exprimer une action terminée,"j'ai souffert toute la nuit.
qu'est-ce que tu lui as offert ?
il n'a pas souffert du tout.
nous leur avons offert des fleurs après le spectacle.
aviez-vous déjà souffert de discrimination ?
ses enfants lui ont offert le meilleur cadeau du monde !",A2,Verbs Tenses & Conjugation,566,1132
participe passé irrégulier,utiliser un participe passé irrégulier pour certains verbes du troisième groupe comme offrir et souffrir,"offert
souffert",A2,Verbs Tenses & Conjugation,567,1133
verbes du troisième groupe,conjuguer des verbes irréguliers comme offrir et souffrir au passé composé avec avoir,"j'ai souffert
qu'est-ce que tu lui as offert ?
il n'a pas souffert
nous leur avons offert",A2,Verbs Tenses & Conjugation,567,1134
qu'est-ce qui,poser une question quand 'quoi' est le sujet de l'action,"Qu'est-ce qui fait ce bruit ?
Qu'est-ce qui s'est passé ?
Qu'est-ce qui t'a pris tant de temps ?
Qu'est-ce qui sent si mauvais ?
Qu'est-ce qui te prend ?
Qu'est-ce qui te manque le plus ?
Qu'est-ce qui te plaît chez Anna ?",A2,Questions & Interrogatives,568,1135
quoi,utiliser comme complément d'objet direct dans une question informelle,Tu fais quoi ?,A2,Questions & Interrogatives,568,1136
que / qu'est-ce que,poser une question quand le sujet fait l'action sur un objet (objet de la phrase),"Qu'est-ce que tu fais ?
Que fais-tu ?",A2,Questions & Interrogatives,569,1137
passé composé avec avoir,utiliser l'auxiliaire avoir au présent suivi du participe passé pour exprimer une action terminée dans le passé,"j'ai vécu à Paris avant de m'installer ici.
Nous avons vécu à Toulouse de 2002 à 2012.
Ils ont vécu heureux pendant de nombreuses années.",A2,Verbs Tenses & Conjugation,569,1138
participe passé irrégulier,reconnaître et utiliser le participe passé irrégulier « vécu » pour le verbe vivre et ses dérivés,"Il a vécu à Paris il y a deux ans.
Elle a vécu en Italie il y a sept ans.
J'ai survécu
J'ai revécu",A2,Verbs Tenses & Conjugation,570,1139
accord du participe passé avec avoir,ne pas accorder le participe passé avec le sujet quand l'auxiliaire est avoir et qu'il n'y a pas de complément d'objet direct placé avant,"Il a vécu à Paris.
Elle a vécu en Italie.
Vous seul avez survécu au naufrage.",A2,Verbs Tenses & Conjugation,570,1140
verbes dérivés de vivre,conjuguer correctement les verbes en -vivre comme survivre et revivre selon le même modèle que vivre,"Il a survécu après tout.
J'ai revécu (l'expérience).",A2,Verbs Tenses & Conjugation,571,1141
ne ... pas encore,Exprimer que quelque chose n'est pas arrivé mais est attendu à l'avenir.,"Je n'ai pas encore fini mes devoirs.
Il ne comprend pas encore la leçon.",A2,Negative Words & Constructions,571,1142
vouloir au passé composé,conjuguer le verbe 'vouloir' à un temps composé avec l'auxiliaire 'avoir',"j'ai voulu
tu as voulu
il a voulu
nous avons voulu
vous avez voulu
ils ont voulu",A2,Verbs Tenses & Conjugation,572,1143
participe passé irrégulier,reconnaître et utiliser le participe passé irrégulier d'un verbe du troisième groupe,voulu,A2,Verbs Tenses & Conjugation,572,1144
auxiliaire avoir,utiliser l'auxiliaire 'avoir' pour former le passé composé de certains verbes,"j'ai voulu
Tu as voulu
Mon élève a voulu",A2,Verbs Tenses & Conjugation,573,1145
accord du participe passé avec avoir,ne pas accorder le participe passé quand l'auxiliaire est 'avoir' et qu'il n'y a pas de complément d'objet direct placé avant,"Il a voulu avaler trop vite, et il s'est étouffé.
Elle a voulu avaler trop vite, et elle s'est étouffée.",A2,Verbs Tenses & Conjugation,573,1146
sens de vouloir au passé composé,comprendre que 'vouloir' au passé composé peut signifier 'essayer' ou 'avoir voulu mais sans succès',"Tu as voulu nous rejoindre, mais on était déjà partis.
Mon élève a voulu tricher, mais je l'ai pris la main dans le sac.",A2,Verbs Tenses & Conjugation,574,1147
chaque + nom singulier,utiliser un adjectif indéfini avec un nom au singulier pour exprimer 'chaque' individuel,"Je vais à la gym chaque jour.
Chaque samedi, je fais de la natation.
Chaque fin de semaine, nous allons nager.
Ils vont en Angleterre chaque année.",B1,Adjectives & Adverbs,574,1148
tous les / toutes les + nom pluriel,utiliser une expression indéfinie avec un nom au pluriel pour exprimer 'tous les' ou 'chaque' considéré comme un groupe,"Je vais à la gym tous les jours.
Tous les dimanches, on va à la pêche.
Toutes les fins de semaine, nous allons nager.",B1,Adjectives & Adverbs,575,1149
accord de tous/toutes les,faire accorder l'expression 'tous les' ou 'toutes les' avec le genre et le nombre du nom qu'elle précède,"Tous les dimanches, on va à la pêche.
Toutes les fins de semaine, nous allons nager.",B1,Adjectives & Adverbs,575,1150
à chaque fois,utiliser une expression adverbiale pour dire 'chaque fois' de manière isolée,"Il se trompe à chaque fois.
Tu fais ça à chaque fois !",B1,Adjectives & Adverbs,576,1151
chaque fois que / à chaque fois que,introduire une subordonnée temporelle pour dire 'chaque fois que',"À chaque fois qu'il la voit, son cœur bat la chamade.
Chaque fois que j'entends cette chanson, ça m'émeut.",B1,Adjectives & Adverbs,576,1152
de/d' devant adjectif,utiliser 'de' ou 'd'' au lieu de 'des' quand un adjectif précède un nom,"Il a mangé de magnifiques gâteaux.
Elsa mange d'excellents cookies.
J'achète de beaux draps.",B1,Nouns & Articles,577,1153
partitif 'des',utiliser 'des' pour exprimer une quantité non précise devant un nom sans adjectif,J'ai vu des endroits magnifiques.,B1,Nouns & Articles,577,1154
distinction des = de + les,ne pas remplacer 'des' par 'de' quand il s'agit de la contraction de 'de + les' (article défini),Je suis jalouse des nouvelles bottes que tu as achetées.,B1,Nouns & Articles,578,1155
adjectif avant nom,"reconnaître les adjectifs courts et courants placés avant le nom, déclenchant le changement de 'des' en 'de'","de magnifiques gâteaux
d'excellents cookies
de beaux draps",B1,Nouns & Articles,578,1156
passer [quelque chose/quelqu'un],utiliser 'passer' pour demander ou indiquer qu'on transmet quelque chose ou quelqu'un,"Annie, tu me passes le sel ?
Merci de votre appel, je vous passe Paul.",B1,"Idioms, Idiomatic Usage, and Structures",579,1157
passer par / devant,décrire le fait de traverser ou de passer à proximité d'un lieu,"Je passe devant chez toi tous les matins.
Ma tante est passée à la boulangerie en venant ici.
Yann est passé par ton quartier en allant au travail.",B1,"Idioms, Idiomatic Usage, and Structures",579,1158
passer + temps,exprimer qu'on passe un certain moment ou qu'on a passé du temps quelque part,"Je passe un très bon moment.
Et passez une bonne journée !
Nous avons passé une semaine à Madrid l'été dernier.
Elles passeront quinze jours en Australie l'année prochaine.",B1,"Idioms, Idiomatic Usage, and Structures",580,1159
se passer (événement),décrire comment un événement s'est déroulé ou ce qui s'est produit,"Comment se sont passées tes vacances ?
La soirée s'est bien passée, tout le monde était content.
Ça s'est passé un dimanche.
Cette histoire se passe au Maroc.",B1,"Idioms, Idiomatic Usage, and Structures",580,1160
se passer de,exprimer qu'on peut se passer de quelque chose ou de quelqu'un,"Je vais me passer de pain pendant une semaine.
Nous ne pouvons pas nous passer d'eau.
Je peux très bien me passer de toi.",B1,"Idioms, Idiomatic Usage, and Structures",581,1161
qui,utiliser un pronom relatif pour introduire une proposition relative où le mot remplacé est le sujet (personne ou chose),"Il a mangé une pizza qui avait une pâte fine.
Nous étudions un livre qui s'appelle ""Moby Dick"".
Marie connaît Julien qui joue de la guitare.
Il adore les restaurants qui servent de la cuisine italienne.",B1,Pronouns,581,1162
qui vs que,distinguer entre qui (sujet) et que (objet) dans une proposition relative selon la fonction grammaticale du mot remplacé,"Utilisez 'qui' quand le mot suivant est un verbe ou un pronom réfléchi/objet (ex. : qui joue, qui s'appelle). Utilisez 'que' quand le mot suivant est un nom.",B1,Pronouns,582,1163
accord de qui,"reconnaître que 'qui' ne change jamais de forme devant une voyelle ou un h muet, contrairement à d'autres pronoms",Qui ne devient jamais qu’ devant une voyelle ou un h muet : seule la lettre e peut être omise pour des raisons de prononciation.,B1,Pronouns,582,1164
ne ... nulle part,utiliser une structure négative pour exprimer l'absence totale de lieu (« nulle part » = « nowhere »),"J'ai cherché partout, mais je ne l'ai trouvé nulle part.
Il n'y a nulle part où je préférerais être.
Comme il pleuvait, Lise n'est allée nulle part.
Je n'ai vu Mathieu nulle part.
Il n'est jamais allé nulle part.",B1,Negative Words & Constructions,583,1165
position de nulle part,placer l'expression « nulle part » à la fin de la proposition après le verbe et ses compléments,"Je n'ai vu Mathieu nulle part.
Il n'est jamais allé nulle part.",B1,Negative Words & Constructions,583,1166
nulle part seul,employer « nulle part » sans la négation « ne » lorsqu'il est utilisé seul en réponse,"Où vas-tu ? - Nulle part, pourquoi ?",B1,Negative Words & Constructions,584,1167
que (pronom relatif),utiliser un pronom relatif pour remplacer une personne ou une chose déjà mentionnée dans la proposition principale,"La femme que je dessine.
Les fleurs que Paul sent.
Le bébé joue avec la peluche que sa maman adore.",B1,Pronouns,584,1168
que vs qui,distinguer l'usage de 'que' (objet) et 'qui' (sujet) dans une proposition relative,"La femme que je dessine. (l'objet de 'je dessine')
Les fleurs que Paul sent. (l'objet de 'Paul sent')",B1,Pronouns,585,1169
que = whom/which/that,"comprendre que 'que' peut traduire 'whom', 'which' ou 'that' en anglais, y compris pour les personnes","La femme que je dessine. (The woman whom I am drawing)
Le bébé joue avec la peluche que sa maman adore. (The baby is playing with the cuddly toy that his mum loves.)",B1,Pronouns,585,1170
obligation d'utiliser 'que',"ne jamais omettre le pronom relatif 'que' en français, contrairement à l'anglais","On ne peut pas dire : la chambre nous avons louée. (incorrect)
Il faut dire : la chambre que nous avons louée.",B1,Pronouns,586,1171
même (adjectif),"utiliser un adjectif qui signifie 'même', 'lui-même', 'très', 'exact' ou 'précis' et qui s'accorde en genre et en nombre avec le nom","C'est la même personne.
Ce sont les mêmes plantes.
C'est la perfection même.
Au moment même où je m'endormais...",B1,Adjectives & Adverbs,586,1172
même (adverbe),"utiliser un adverbe qui signifie 'même' pour renforcer une action ou un fait, sans changement de forme","Même ma mère est allée...
Il avait même cuisiné!
Mes amis avaient même invité mes parents!",B1,Adjectives & Adverbs,587,1173
paraître/connaître au passé composé,conjuguer à l'aide d'avoir + participe passé en -u,"j'ai connu
tu as paru
ils ont disparu",B1,Verbs Tenses & Conjugation,587,1174
formation du participe passé,former le participe passé en remplaçant -aître par -u,"connaître → connu
paraître → paru
disparaître → disparu",B1,Verbs Tenses & Conjugation,588,1175
accord du participe passé avec avoir,ne pas accorder le participe passé quand l'auxiliaire est avoir,"J'ai bien connu tes parents.
Tu as paru fatigué hier.
Ses articles ont paru dans Le Monde.",B1,Verbs Tenses & Conjugation,588,1176
dérivés de connaître et paraître,appliquer la même règle de conjugaison aux verbes dérivés,"reconnaître → reconnu
méconnaître → méconnu
comparaître → comparu",B1,Verbs Tenses & Conjugation,589,1177
disparaître,utiliser avoir comme auxiliaire en français de France,"Et tout à coup, tu as disparu!
146 espèces de saumon ont déjà disparu.",B1,Verbs Tenses & Conjugation,589,1178
en remplace de + [chose],"utiliser le pronom adverbial 'en' pour remplacer un groupe introduit par 'de' + objet, chose ou lieu (sauf personnes)","Je viens de Paris. - J'en viens aussi !
Que penses-tu de cette exposition ? - J'en pense le plus grand bien !
Je m'occupe de mes problèmes. Je m'en occupe.
Elle a besoin de vacances. Elle en a besoin.",B1,Pronouns,590,1179
en avec choses incountables,utiliser 'en' pour remplacer une quantité indénombrable introduite par 'de',"Vous mangez de la viande. Moi, je n'en mange pas.",B1,Pronouns,590,1180
de + pronom tonique (personnes),"garder la préposition 'de' suivie d’un pronom tonique (moi, toi, lui, elle, nous, vous, eux, elles) pour remplacer une personne","Tu te moques de Paul et Daniel. - Non, je ne me moque pas d'eux !
J'ai besoin de ma mère tous les jours. - J'ai besoin d'elle aussi.",B1,Pronouns,591,1181
"distinction en / le,la,l',les","faire la différence entre 'en' (remplace de + nom) et les pronoms directs (le, la, l’, les) qui remplacent le complément d’objet direct","Vous mangez de la viande. Moi, je n'en mange pas.
Ta viande est dans ton assiette. Pourquoi tu ne la manges pas ?",B1,Pronouns,591,1182
dernier après le nom,utiliser un adjectif après le nom pour exprimer 'précédent' dans des expressions de temps,"La semaine dernière, je suis allée skier.
Les jours derniers, j'étais un peu malade.
On s'est mariés le mois dernier.",B1,Adjectives & Adverbs,592,1183
dernier avant le nom,utiliser un adjectif avant le nom pour exprimer 'dernier' dans le sens de 'final' ou 'le plus récent',"Pendant la dernière semaine de mes exams, je suis tombé malade.
Les derniers jours de l'année sont toujours plus courts.
Le dernier mois a été difficile.",B1,Adjectives & Adverbs,592,1184
